sa2_name_2011,date,Establishments (no.),Rooms (no.),Bed spaces (no.)
Darwin City,2015-07-01,33,3891,10074
Fannie Bay - The Gardens,2015-07-01,1,,
Larrakeyah,2015-07-01,1,,
Parap,2015-07-01,3,142,315
Woolner - Bayview - Winnellie,2015-07-01,2,,
Berrimah,2015-07-01,1,,
Jingili,2015-07-01,1,,
Lyons (NT),2015-07-01,1,,
Malak - Marrara,2015-07-01,2,,
Humpty Doo,2015-07-01,1,,
Palmerston - North,2015-07-01,2,,
Barkly,2015-07-01,2,,
Tennant Creek,2015-07-01,6,,
Charles,2015-07-01,7,,
East Side,2015-07-01,1,,
Mount Johns,2015-07-01,8,876,2541
Alligator,2015-07-01,9,,
Anindilyakwa,2015-07-01,1,,
Nhulunbuy,2015-07-01,2,,
Elsey,2015-07-01,1,,
Gulf,2015-07-01,1,,
Katherine,2015-07-01,7,,
Sandover - Plenty,2015-07-01,1,,
Petermann - Simpson,2015-07-01,7,898,3026
Darwin City,2015-10-01,33,3904,10115
Fannie Bay - The Gardens,2015-10-01,1,,
Larrakeyah,2015-10-01,1,,
Parap,2015-10-01,3,141,313
Woolner - Bayview - Winnellie,2015-10-01,2,,
Berrimah,2015-10-01,1,,
Jingili,2015-10-01,1,,
Lyons (NT),2015-10-01,1,,
Malak - Marrara,2015-10-01,2,,
Humpty Doo,2015-10-01,1,,
Palmerston - North,2015-10-01,2,,
Barkly,2015-10-01,2,,
Tennant Creek,2015-10-01,6,,
Charles,2015-10-01,7,,
East Side,2015-10-01,1,,
Mount Johns,2015-10-01,8,876,2541
Alligator,2015-10-01,9,523,1588
Anindilyakwa,2015-10-01,1,,
Nhulunbuy,2015-10-01,2,,
Elsey,2015-10-01,1,,
Gulf,2015-10-01,1,,
Katherine,2015-10-01,7,,
Sandover - Plenty,2015-10-01,1,,
Petermann - Simpson,2015-10-01,7,898,3026
Darwin City,2016-01-01,33,3894,10044
Fannie Bay - The Gardens,2016-01-01,1,,
Larrakeyah,2016-01-01,1,,
Parap,2016-01-01,3,141,313
Woolner - Bayview - Winnellie,2016-01-01,2,,
Berrimah,2016-01-01,1,,
Jingili,2016-01-01,1,,
Lyons (NT),2016-01-01,1,,
Malak - Marrara,2016-01-01,2,,
Humpty Doo,2016-01-01,1,,
Palmerston - North,2016-01-01,2,,
Barkly,2016-01-01,2,,
Tennant Creek,2016-01-01,6,,
Charles,2016-01-01,7,,
East Side,2016-01-01,1,,
Mount Johns,2016-01-01,8,876,2541
Alligator,2016-01-01,9,523,1588
Anindilyakwa,2016-01-01,1,,
Nhulunbuy,2016-01-01,2,,
Elsey,2016-01-01,1,,
Gulf,2016-01-01,1,,
Katherine,2016-01-01,7,,
Sandover - Plenty,2016-01-01,1,,
Petermann - Simpson,2016-01-01,7,900,3032
Darwin City,2016-04-01,33,3972,10469
Fannie Bay - The Gardens,2016-04-01,1,,
Larrakeyah,2016-04-01,1,,
Parap,2016-04-01,3,,
Woolner - Bayview - Winnellie,2016-04-01,2,,
Berrimah,2016-04-01,1,,
Jingili,2016-04-01,1,,
Lyons (NT),2016-04-01,1,,
Malak - Marrara,2016-04-01,2,,
Humpty Doo,2016-04-01,1,,
Palmerston - North,2016-04-01,2,,
Barkly,2016-04-01,2,,
Tennant Creek,2016-04-01,6,,
Charles,2016-04-01,7,,
East Side,2016-04-01,1,,
Mount Johns,2016-04-01,8,876,2541
Alligator,2016-04-01,9,522,1593
Anindilyakwa,2016-04-01,1,,
Nhulunbuy,2016-04-01,2,,
Elsey,2016-04-01,1,,
Gulf,2016-04-01,1,,
Katherine,2016-04-01,7,,
Sandover - Plenty,2016-04-01,1,,
Petermann - Simpson,2016-04-01,7,900,3032
Waroona,2015-07-01,2,,
Halls Head - Erskine,2015-07-01,1,,
Mandurah,2015-07-01,10,500,1845
Mandurah - East,2015-07-01,1,,
Pinjarra,2015-07-01,1,,
Cottesloe,2015-07-01,2,,
Nedlands - Dalkeith - Crawley,2015-07-01,2,,
Perth City,2015-07-01,52,6394,15542
Subiaco - Shenton Park,2015-07-01,2,,
Bayswater - Embleton - Bedford,2015-07-01,1,,
Mundaring,2015-07-01,1,,
Ellenbrook,2015-07-01,1,,
Midland - Guildford,2015-07-01,2,,
The Vines,2015-07-01,1,,
Heathridge - Connolly,2015-07-01,1,,
Hillarys,2015-07-01,1,,
Sorrento - Marmion,2015-07-01,1,,
Scarborough,2015-07-01,6,545,1346
Trigg - North Beach - Watermans Bay,2015-07-01,1,,
Mindarie - Quinns Rocks - Jindalee,2015-07-01,1,,
Yanchep,2015-07-01,1,,
Armadale - Wungong - Brookdale,2015-07-01,1,,
Belmont - Ascot - Redcliffe,2015-07-01,7,723,1462
Rivervale - Kewdale - Cloverdale,2015-07-01,3,364,1051
Victoria Park - Lathlain - Burswood,2015-07-01,2,,
Bentley - Wilson - St James,2015-07-01,1,,
Beckenham - Kenwick - Langford,2015-07-01,1,,
Como,2015-07-01,3,202,584
South Perth - Kensington,2015-07-01,4,235,791
Henderson,2015-07-01,1,,
East Fremantle,2015-07-01,1,,
Fremantle,2015-07-01,11,648,1554
Booragoon,2015-07-01,1,,
Baldivis,2015-07-01,1,,
Rockingham,2015-07-01,3,196,530
Chittering,2015-07-01,1,,
Northam,2015-07-01,1,,
Toodyay,2015-07-01,2,,
York - Beverley,2015-07-01,1,,
Esperance,2015-07-01,7,237,728
Esperance Region,2015-07-01,1,,
Kalgoorlie,2015-07-01,13,897,2161
Kambalda - Coolgardie - Norseman,2015-07-01,7,246,688
Leinster - Leonora,2015-07-01,3,96,180
Meekatharra,2015-07-01,3,67,156
Merredin,2015-07-01,2,,
Moora,2015-07-01,4,85,195
Mukinbudin,2015-07-01,1,,
Kulin,2015-07-01,3,,
Narrogin,2015-07-01,3,,
Wagin,2015-07-01,3,81,176
Augusta,2015-07-01,3,,
Busselton,2015-07-01,14,768,2809
Busselton Region,2015-07-01,9,280,1320
Margaret River,2015-07-01,9,338,927
Bunbury,2015-07-01,10,574,1524
Collie,2015-07-01,3,101,241
Eaton - Pelican Point,2015-07-01,1,,
Harvey,2015-07-01,2,,
Bridgetown - Boyup Brook,2015-07-01,3,,
Donnybrook - Balingup,2015-07-01,1,,
Manjimup,2015-07-01,3,,
Pemberton,2015-07-01,6,237,664
Albany,2015-07-01,11,467,1370
Denmark,2015-07-01,3,65,196
Gnowangerup,2015-07-01,2,,
Katanning,2015-07-01,2,,
Kojonup,2015-07-01,1,,
McKail - Willyung,2015-07-01,2,,
Plantagenet,2015-07-01,2,,
Broome,2015-07-01,16,1279,3663
Derby - West Kimberley,2015-07-01,4,247,633
Halls Creek,2015-07-01,3,,
Kununurra,2015-07-01,7,398,1023
Roebuck,2015-07-01,1,,
Ashburton (WA),2015-07-01,5,694,1200
East Pilbara,2015-07-01,1,,
Karratha,2015-07-01,5,316,665
Newman,2015-07-01,3,367,614
Port Hedland,2015-07-01,5,352,653
Roebourne,2015-07-01,1,,
South Hedland,2015-07-01,2,,
Carnarvon,2015-07-01,4,159,531
Exmouth,2015-07-01,9,462,1458
Geraldton,2015-07-01,9,491,1532
Geraldton - South,2015-07-01,3,,
Irwin,2015-07-01,2,,
Morawa,2015-07-01,1,,
Northampton - Mullewa - Greenough,2015-07-01,3,,
Gingin - Dandaragan,2015-07-01,3,98,278
Waroona,2015-10-01,2,,
Halls Head - Erskine,2015-10-01,1,,
Mandurah,2015-10-01,10,500,1845
Mandurah - East,2015-10-01,1,,
Pinjarra,2015-10-01,1,,
Cottesloe,2015-10-01,2,,
Nedlands - Dalkeith - Crawley,2015-10-01,2,,
Perth City,2015-10-01,52,6183,15070
Subiaco - Shenton Park,2015-10-01,2,,
Bayswater - Embleton - Bedford,2015-10-01,1,,
Mundaring,2015-10-01,1,,
Ellenbrook,2015-10-01,1,,
Midland - Guildford,2015-10-01,2,,
The Vines,2015-10-01,1,,
Heathridge - Connolly,2015-10-01,1,,
Hillarys,2015-10-01,1,,
Sorrento - Marmion,2015-10-01,1,,
Scarborough,2015-10-01,6,545,1346
Trigg - North Beach - Watermans Bay,2015-10-01,1,,
Mindarie - Quinns Rocks - Jindalee,2015-10-01,1,,
Yanchep,2015-10-01,1,,
Armadale - Wungong - Brookdale,2015-10-01,1,,
Belmont - Ascot - Redcliffe,2015-10-01,7,723,1462
Rivervale - Kewdale - Cloverdale,2015-10-01,3,364,1051
Victoria Park - Lathlain - Burswood,2015-10-01,2,,
Bentley - Wilson - St James,2015-10-01,1,,
Beckenham - Kenwick - Langford,2015-10-01,1,,
Como,2015-10-01,3,202,584
South Perth - Kensington,2015-10-01,4,235,791
Henderson,2015-10-01,1,,
East Fremantle,2015-10-01,1,,
Fremantle,2015-10-01,11,648,1554
Booragoon,2015-10-01,1,,
Baldivis,2015-10-01,1,,
Rockingham,2015-10-01,3,196,530
Chittering,2015-10-01,1,,
Northam,2015-10-01,1,,
Toodyay,2015-10-01,2,,
York - Beverley,2015-10-01,1,,
Esperance,2015-10-01,7,237,728
Esperance Region,2015-10-01,1,,
Kalgoorlie,2015-10-01,13,900,2184
Kambalda - Coolgardie - Norseman,2015-10-01,7,246,688
Leinster - Leonora,2015-10-01,3,96,180
Meekatharra,2015-10-01,3,67,156
Merredin,2015-10-01,2,,
Moora,2015-10-01,4,85,195
Mukinbudin,2015-10-01,1,,
Kulin,2015-10-01,3,,
Narrogin,2015-10-01,3,,
Wagin,2015-10-01,3,81,176
Augusta,2015-10-01,3,94,254
Busselton,2015-10-01,14,768,2809
Busselton Region,2015-10-01,9,307,1380
Margaret River,2015-10-01,9,340,931
Bunbury,2015-10-01,10,574,1524
Collie,2015-10-01,3,101,241
Eaton - Pelican Point,2015-10-01,1,,
Harvey,2015-10-01,2,,
Bridgetown - Boyup Brook,2015-10-01,3,,
Donnybrook - Balingup,2015-10-01,1,,
Manjimup,2015-10-01,3,,
Pemberton,2015-10-01,6,238,666
Albany,2015-10-01,11,467,1370
Denmark,2015-10-01,3,65,196
Gnowangerup,2015-10-01,2,,
Katanning,2015-10-01,2,,
Kojonup,2015-10-01,1,,
McKail - Willyung,2015-10-01,2,,
Plantagenet,2015-10-01,2,,
Broome,2015-10-01,16,1279,3663
Derby - West Kimberley,2015-10-01,4,217,593
Halls Creek,2015-10-01,3,,
Kununurra,2015-10-01,7,398,1023
Roebuck,2015-10-01,1,,
Ashburton (WA),2015-10-01,5,694,1200
East Pilbara,2015-10-01,1,,
Karratha,2015-10-01,5,318,669
Newman,2015-10-01,3,367,614
Port Hedland,2015-10-01,5,352,653
Roebourne,2015-10-01,1,,
South Hedland,2015-10-01,2,,
Carnarvon,2015-10-01,4,159,531
Exmouth,2015-10-01,9,474,1497
Geraldton,2015-10-01,9,491,1532
Geraldton - South,2015-10-01,3,,
Irwin,2015-10-01,2,,
Morawa,2015-10-01,1,,
Northampton - Mullewa - Greenough,2015-10-01,3,,
Gingin - Dandaragan,2015-10-01,3,98,278
Waroona,2016-01-01,2,,
Halls Head - Erskine,2016-01-01,1,,
Mandurah,2016-01-01,10,503,1849
Mandurah - East,2016-01-01,1,,
Pinjarra,2016-01-01,1,,
Cottesloe,2016-01-01,2,,
Nedlands - Dalkeith - Crawley,2016-01-01,2,,
Perth City,2016-01-01,53,6281,15276
Subiaco - Shenton Park,2016-01-01,2,,
Bayswater - Embleton - Bedford,2016-01-01,1,,
Mundaring,2016-01-01,1,,
Ellenbrook,2016-01-01,1,,
Midland - Guildford,2016-01-01,2,,
The Vines,2016-01-01,1,,
Heathridge - Connolly,2016-01-01,1,,
Hillarys,2016-01-01,1,,
Sorrento - Marmion,2016-01-01,1,,
Scarborough,2016-01-01,6,545,1352
Trigg - North Beach - Watermans Bay,2016-01-01,1,,
Mindarie - Quinns Rocks - Jindalee,2016-01-01,1,,
Yanchep,2016-01-01,1,,
Armadale - Wungong - Brookdale,2016-01-01,1,,
Belmont - Ascot - Redcliffe,2016-01-01,7,719,1456
Rivervale - Kewdale - Cloverdale,2016-01-01,3,364,1051
Victoria Park - Lathlain - Burswood,2016-01-01,2,,
Bentley - Wilson - St James,2016-01-01,1,,
Beckenham - Kenwick - Langford,2016-01-01,1,,
Como,2016-01-01,3,202,584
South Perth - Kensington,2016-01-01,4,235,807
Henderson,2016-01-01,1,,
East Fremantle,2016-01-01,1,,
Fremantle,2016-01-01,11,648,1554
Booragoon,2016-01-01,1,,
Baldivis,2016-01-01,1,,
Rockingham,2016-01-01,3,196,530
Chittering,2016-01-01,1,,
Northam,2016-01-01,1,,
Toodyay,2016-01-01,2,,
York - Beverley,2016-01-01,1,,
Esperance,2016-01-01,7,237,728
Esperance Region,2016-01-01,1,,
Kalgoorlie,2016-01-01,13,902,2192
Kambalda - Coolgardie - Norseman,2016-01-01,7,246,688
Leinster - Leonora,2016-01-01,3,96,180
Meekatharra,2016-01-01,3,67,156
Merredin,2016-01-01,2,,
Moora,2016-01-01,4,85,194
Mukinbudin,2016-01-01,1,,
Kulin,2016-01-01,3,,
Narrogin,2016-01-01,3,,
Wagin,2016-01-01,3,,
Augusta,2016-01-01,3,94,254
Busselton,2016-01-01,14,768,2809
Busselton Region,2016-01-01,9,290,1351
Margaret River,2016-01-01,9,340,931
Bunbury,2016-01-01,10,554,1477
Collie,2016-01-01,3,101,241
Eaton - Pelican Point,2016-01-01,1,,
Harvey,2016-01-01,2,,
Bridgetown - Boyup Brook,2016-01-01,3,,
Donnybrook - Balingup,2016-01-01,1,,
Manjimup,2016-01-01,3,,
Pemberton,2016-01-01,6,238,668
Albany,2016-01-01,11,471,1386
Denmark,2016-01-01,3,65,196
Gnowangerup,2016-01-01,2,,
Katanning,2016-01-01,2,,
Kojonup,2016-01-01,1,,
McKail - Willyung,2016-01-01,2,,
Plantagenet,2016-01-01,2,,
Broome,2016-01-01,16,1279,3663
Derby - West Kimberley,2016-01-01,4,,
Halls Creek,2016-01-01,3,,
Kununurra,2016-01-01,7,398,1006
Roebuck,2016-01-01,1,,
Ashburton (WA),2016-01-01,5,694,1200
East Pilbara,2016-01-01,1,,
Karratha,2016-01-01,5,319,671
Newman,2016-01-01,3,367,614
Port Hedland,2016-01-01,5,352,653
Roebourne,2016-01-01,1,,
South Hedland,2016-01-01,2,,
Carnarvon,2016-01-01,4,159,531
Exmouth,2016-01-01,9,476,1503
Geraldton,2016-01-01,9,491,1532
Geraldton - South,2016-01-01,3,,
Irwin,2016-01-01,2,,
Morawa,2016-01-01,1,,
Northampton - Mullewa - Greenough,2016-01-01,3,,
Gingin - Dandaragan,2016-01-01,3,98,278
Waroona,2016-04-01,2,,
Halls Head - Erskine,2016-04-01,1,,
Mandurah,2016-04-01,10,501,1847
Mandurah - East,2016-04-01,1,,
Pinjarra,2016-04-01,1,,
Cottesloe,2016-04-01,2,,
Nedlands - Dalkeith - Crawley,2016-04-01,2,,
Perth City,2016-04-01,53,6269,15235
Subiaco - Shenton Park,2016-04-01,1,,
Bayswater - Embleton - Bedford,2016-04-01,1,,
Mundaring,2016-04-01,1,,
Ellenbrook,2016-04-01,1,,
Midland - Guildford,2016-04-01,2,,
The Vines,2016-04-01,1,,
Heathridge - Connolly,2016-04-01,1,,
Hillarys,2016-04-01,1,,
Sorrento - Marmion,2016-04-01,1,,
Scarborough,2016-04-01,6,545,1352
Trigg - North Beach - Watermans Bay,2016-04-01,1,,
Mindarie - Quinns Rocks - Jindalee,2016-04-01,1,,
Yanchep,2016-04-01,1,,
Armadale - Wungong - Brookdale,2016-04-01,1,,
Belmont - Ascot - Redcliffe,2016-04-01,7,697,1395
Rivervale - Kewdale - Cloverdale,2016-04-01,3,364,1051
Victoria Park - Lathlain - Burswood,2016-04-01,2,,
Bentley - Wilson - St James,2016-04-01,1,,
Beckenham - Kenwick - Langford,2016-04-01,1,,
Como,2016-04-01,3,202,584
South Perth - Kensington,2016-04-01,4,288,807
Henderson,2016-04-01,1,,
East Fremantle,2016-04-01,1,,
Fremantle,2016-04-01,11,648,1554
Booragoon,2016-04-01,1,,
Baldivis,2016-04-01,1,,
Rockingham,2016-04-01,3,196,530
Chittering,2016-04-01,1,,
Northam,2016-04-01,1,,
Toodyay,2016-04-01,2,,
York - Beverley,2016-04-01,1,,
Esperance,2016-04-01,7,237,728
Esperance Region,2016-04-01,1,,
Kalgoorlie,2016-04-01,13,906,2212
Kambalda - Coolgardie - Norseman,2016-04-01,7,237,671
Leinster - Leonora,2016-04-01,3,96,180
Meekatharra,2016-04-01,3,67,156
Merredin,2016-04-01,2,,
Moora,2016-04-01,4,85,194
Mukinbudin,2016-04-01,1,,
Kulin,2016-04-01,3,,
Narrogin,2016-04-01,3,,
Wagin,2016-04-01,3,,
Augusta,2016-04-01,3,,
Busselton,2016-04-01,14,768,2813
Busselton Region,2016-04-01,9,271,1313
Margaret River,2016-04-01,9,340,931
Bunbury,2016-04-01,10,559,1477
Collie,2016-04-01,3,101,241
Eaton - Pelican Point,2016-04-01,1,,
Harvey,2016-04-01,2,,
Bridgetown - Boyup Brook,2016-04-01,3,,
Donnybrook - Balingup,2016-04-01,1,,
Manjimup,2016-04-01,3,,
Pemberton,2016-04-01,6,238,668
Albany,2016-04-01,11,471,1386
Denmark,2016-04-01,3,65,196
Gnowangerup,2016-04-01,2,,
Katanning,2016-04-01,2,,
Kojonup,2016-04-01,1,,
McKail - Willyung,2016-04-01,2,,
Plantagenet,2016-04-01,2,,
Broome,2016-04-01,16,1275,3663
Derby - West Kimberley,2016-04-01,4,247,633
Halls Creek,2016-04-01,3,,
Kununurra,2016-04-01,7,398,1006
Roebuck,2016-04-01,1,,
Ashburton (WA),2016-04-01,5,694,1200
East Pilbara,2016-04-01,1,,
Karratha,2016-04-01,5,309,636
Newman,2016-04-01,3,360,614
Port Hedland,2016-04-01,5,352,653
Roebourne,2016-04-01,1,,
South Hedland,2016-04-01,2,,
Carnarvon,2016-04-01,4,159,531
Exmouth,2016-04-01,9,486,1533
Geraldton,2016-04-01,9,491,1532
Geraldton - South,2016-04-01,3,,
Irwin,2016-04-01,2,,
Morawa,2016-04-01,1,,
Northampton - Mullewa - Greenough,2016-04-01,3,,
Gingin - Dandaragan,2016-04-01,3,98,278
Burleigh Heads,2015-07-01,8,302,1035
Mermaid Beach - Broadbeach,2015-07-01,34,2768,9052
Mermaid Waters,2015-07-01,1,,
Miami,2015-07-01,5,137,433
Coolangatta,2015-07-01,11,786,2578
Currumbin - Tugun,2015-07-01,6,,
Palm Beach,2015-07-01,4,,
Biggera Waters,2015-07-01,4,201,675
Labrador,2015-07-01,1,,
Paradise Point - Hollywell,2015-07-01,1,,
Runaway Bay,2015-07-01,1,,
Tamborine - Canungra,2015-07-01,6,291,870
Currumbin Valley - Tallebudgera,2015-07-01,1,,
Carrara,2015-07-01,1,,
Nerang - Mount Nathan,2015-07-01,2,,
Coomera,2015-07-01,1,,
Hope Island,2015-07-01,2,,
Ormeau - Yatala,2015-07-01,1,,
Varsity Lakes,2015-07-01,1,,
Southport,2015-07-01,3,,
Benowa,2015-07-01,1,,
Main Beach,2015-07-01,11,1180,3845
Surfers Paradise,2015-07-01,51,6463,19139
Beaudesert,2015-07-01,1,,
Cleveland,2015-07-01,2,,
Ormiston,2015-07-01,1,,
Redland Islands,2015-07-01,4,198,838
Manly - Lota,2015-07-01,1,,
Wakerley,2015-07-01,1,,
Wynnum,2015-07-01,1,,
Wynnum West - Hemmant,2015-07-01,2,,
Carseldine,2015-07-01,2,,
Aspley,2015-07-01,2,,
Chermside,2015-07-01,6,254,715
Boondall,2015-07-01,1,,
Brisbane Airport,2015-07-01,1,,
Northgate - Virginia,2015-07-01,2,,
Annerley,2015-07-01,2,,
Greenslopes,2015-07-01,1,,
Woolloongabba,2015-07-01,5,321,693
