X,Y,id,ENO,NAME,SYNONYMS,STATE,LONGITUDE,LATITUDE,ACCURACY,SIGNIFICANT,SIGNIFICANCE_VALUE,SIGNIFICANCE_CALC_METHOD,ACCESS_CODE,COMMODIDS,COMMODNAMES,OPERATING_STATUS
148.6182,-32.4453,mineral_deposits.3588,"335050",Toongi,"Dubbo, Dubbo Zirconia, DZP",NSW,148.6181783272,-32.4453194974,"1000",Y,"3",AUTO,O,"REO, (Y2O3, HfO2, ZrO2, Ta2O5, Nb2O5, U, U3O8, Nb, Ta, Y)","Rare earth oxides, (Yttrium oxide, Hafnium oxide, Zirconia, Tantalum pentoxide, Niobium pentoxide, Uranium, Uranium oxide, Niobium, Tantalum, Yttrium)",under development
119.2697,-28.0737,mineral_deposits.3589,"334866",Two Mile Hill,Sandstone Project,WA,119.2697,-28.0737,"500",N,"5",AUTO,O,Au,Gold,historic mine
149.9677,-26.1536,mineral_deposits.3590,"333628",Wubagul,,QLD,149.9676503562,-26.153602161,"250",N,"6",AUTO,O,Cbl,Coal - black,mineral deposit
116.118,-22.829,mineral_deposits.3591,"334672",Mount Clement,,WA,116.118,-22.829,"999",N,"4",AUTO,O,"Au, Ag, Pb, (Sb)","Gold, Silver, Lead, (Antimony)",mineral deposit
119.6801,-32.4504,mineral_deposits.3592,"333850",New Morning,,WA,119.6800736797,-32.4504020849,"100",N,"4",AUTO,O,"Ni, Co","Nickel, Cobalt",mineral deposit
119.7379,-32.5376,mineral_deposits.3593,"334712",Liquid Acrobat,,WA,119.7378598501,-32.5376212257,"100",N,"6",AUTO,O,Ni,Nickel,mineral deposit
119.7379,-32.5485,mineral_deposits.3594,"335168",Rat Bat,,WA,119.7379,-32.548458,"0",N,"5",AUTO,O,Ni,Nickel,mineral deposit
142.1254,-33.4152,mineral_deposits.3595,"336186",Snapper,,NSW,142.1253852406,-33.4152063155,"1000",Y,"3",AUTO,O,"Rt, Zrn, Ilm, (Leu)","Rutile, Zircon, Ilmenite, (Leucoxene)",operating mine
142.226,-33.3644,mineral_deposits.3596,"334437",Ginkgo,,NSW,142.2259830666,-33.3644051198,"1000",Y,"3",AUTO,O,"Zrn, Rt, Ilm, (Leu)","Zircon, Rutile, Ilmenite, (Leucoxene)",operating mine
141.75,-32.907,mineral_deposits.3597,"335701",Coombah 1,,NSW,141.749989109,-32.9070046578,"1000",N,"5",AUTO,O,"Zrn, Ilm, Rt, Leu","Zircon, Ilmenite, Rutile, Leucoxene",mineral deposit
